"Дата"	"Сумма"	"Валюта"	"Счет"	"Статья"	"Группа статей"	"Комментарий"
"2026.01.05"	-329		"Мои деньги"	"Транспорт"	""	""
"2026.01.04"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2026.01.03"	-680		"Мои деньги"	"Еда"	""	""
"2026.01.03"	-2000		"Мои деньги"	"Спорт"	""	"Корт"
"2026.01.03"	-100		"Мои деньги"	"Досуг"	""	"Комп клуб"
"2026.01.03"	-2548		"Мои деньги"	"Продукты"	""	""
"2026.01.02"	-1500		"Мои деньги"	"Спорт"	""	"Корт"
"2026.01.02"	-1450		"Мои деньги"	"Еда"	""	""
"2026.01.02"	-1041		"Мои деньги"	"Еда"	""	""
"2026.01.01"	-1600		"Мои деньги"	"Досуг"	""	"Комп клуб"
"2026.01.01"	-585		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.12.31"	-6993		"Мои деньги"	"Продукты"	""	""
"2025.12.31"	-1220		"Мои деньги"	"Продукты"	""	""
"2025.12.29"	-1445		"Мои деньги"	"Еда"	""	""
"2025.12.29"	-700		"Мои деньги"	"Транспорт"	""	"Такси"
"2025.12.29"	-1300		"Мои деньги"	"Еда"	""	""
"2025.12.29"	-1010		"Мои деньги"	"Еда"	""	""
"2025.12.29"	-248		"Мои деньги"	"Продукты"	""	""
"2025.12.28"	-1862		"Мои деньги"	"Еда"	""	""
"2025.12.27"	-21065		"Мои деньги"	"Одежда"	""	""
"2025.12.27"	-1000		"Мои деньги"	"Транспорт"	""	"Такси"
"2025.12.27"	-799		"Мои деньги"	"Досуг"	""	""
"2025.12.27"	-6600		"Мои деньги"	"Спорт"	""	"Тренировка"
"2025.12.27"	-2200		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.27"	-1430		"Мои деньги"	"Еда"	""	""
"2025.12.26"	-8000		"Мои деньги"	"Подарки"	""	"Рома др"
"2025.12.26"	-1319		"Мои деньги"	"Досуг"	""	""
"2025.12.26"	-1357		"Мои деньги"	"Еда"	""	""
"2025.12.26"	-466		"Мои деньги"	"Продукты"	""	""
"2025.12.25"	-1357		"Мои деньги"	"Еда"	""	""
"2025.12.25"	-2500		"Мои деньги"	"Красота"	""	"Барбер"
"2025.12.25"	-1777		"Мои деньги"	"Еда"	""	""
"2025.12.24"	-24525		"Мои деньги"	"Техника"	""	"Наушники"
"2025.12.24"	-514		"Мои деньги"	"Досуг"	""	""
"2025.12.24"	-1857		"Мои деньги"	"Еда"	""	""
"2025.12.23"	-561		"Мои деньги"	"Здоровье"	""	"Мазь ожоги"
"2025.12.23"	-1146		"Мои деньги"	"Еда"	""	""
"2025.12.22"	-166		"Мои деньги"	"Продукты"	""	""
"2025.12.22"	-628		"Мои деньги"	"Продукты"	""	""
"2025.12.22"	-1562		"Мои деньги"	"Еда"	""	""
"2025.12.20"	-13200		"Мои деньги"	"Спорт"	""	"Тренировка"
"2025.12.20"	-1310		"Мои деньги"	"Еда"	""	""
"2025.12.20"	-3600		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.19"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.19"	-1938		"Мои деньги"	"Еда"	""	""
"2025.12.19"	-379		"Мои деньги"	"Здоровье"	""	""
"2025.12.18"	-9900		"Мои деньги"	"Здоровье"	""	"Массаж"
"2025.12.18"	-13100		"Мои деньги"	"Продукты"	""	""
"2025.12.18"	-891		"Мои деньги"	"Еда"	""	""
"2025.12.18"	-81		"Мои деньги"	"Еда"	""	""
"2025.12.18"	-1377		"Мои деньги"	"Еда"	""	""
"2025.12.17"	-17470		"Мои деньги"	"Коммуналка"	""	""
"2025.12.17"	-5500		"Мои деньги"	"Продукты"	""	""
"2025.12.16"	-1770		"Мои деньги"	"Еда"	""	""
"2025.12.16"	-81		"Мои деньги"	"Продукты"	""	""
"2025.12.16"	-3600		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.16"	-1447		"Мои деньги"	"Еда"	""	""
"2025.12.16"	-230		"Мои деньги"	"Продукты"	""	""
"2025.12.15"	-76262		"Мои деньги"	"Жилье"	""	""
"2025.12.15"	-1341		"Мои деньги"	"Еда"	""	""
"2025.12.14"	-497		"Мои деньги"	"Продукты"	""	""
"2025.12.14"	-4410		"Мои деньги"	"Досуг"	""	"Кинотеатр"
"2025.12.14"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.14"	-1340		"Мои деньги"	"Еда"	""	""
"2025.12.14"	-260		"Мои деньги"	"Досуг"	""	""
"2025.12.14"	-1336		"Мои деньги"	"Еда"	""	""
"2025.12.14"	-150		"Мои деньги"	"Досуг"	""	""
"2025.12.13"	-390		"Мои деньги"	"Досуг"	""	""
"2025.12.13"	-1446		"Мои деньги"	"Еда"	""	""
"2025.12.13"	-1452		"Мои деньги"	"Еда"	""	""
"2025.12.12"	-2000		"Мои деньги"	"Транспорт"	""	""
"2025.12.12"	-1498		"Мои деньги"	"Еда"	""	""
"2025.12.12"	-1200		"Мои деньги"	"Транспорт"	""	""
"2025.12.11"	-1499		"Мои деньги"	"Еда"	""	""
"2025.12.11"	-3500		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.12.11"	-354		"Мои деньги"	"Продукты"	""	""
"2025.12.11"	-1862		"Мои деньги"	"Еда"	""	""
"2025.12.11"	-8429		"Мои деньги"	"Спорт"	""	"Питание"
"2025.12.11"	-4972		"Мои деньги"	"Здоровье"	""	"Аптека"
"2025.12.11"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.11"	-811		"Мои деньги"	"Еда"	""	""
"2025.12.10"	-1352		"Мои деньги"	"Еда"	""	""
"2025.12.09"	-2000		"Мои деньги"	"Еда"	""	""
"2025.12.09"	-1122		"Мои деньги"	"Еда"	""	""
"2025.12.07"	-400		"Мои деньги"	"Досуг"	""	""
"2025.12.07"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.12.07"	-400		"Мои деньги"	"Досуг"	""	""
"2025.12.07"	-2422		"Мои деньги"	"Продукты"	""	""
"2025.12.06"	-399		"Мои деньги"	"Досуг"	""	""
"2025.12.06"	-2649		"Мои деньги"	"Еда"	""	""
"2025.12.06"	-418		"Мои деньги"	"Продукты"	""	""
"2025.12.06"	-2500		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.12.05"	-1710		"Мои деньги"	"Еда"	""	""
"2025.12.05"	-585		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.12.05"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2025.12.05"	-8400		"Мои деньги"	"Техника"	""	"Фильтр для очистителя воздуха"
"2025.12.05"	-89		"Мои деньги"	"Продукты"	""	""
"2025.12.05"	-5195		"Мои деньги"	"Продукты"	""	""
"2025.12.05"	-1037		"Мои деньги"	"Еда"	""	""
"2025.12.03"	-19435		"Мои деньги"	"Подарки"	""	"Маме"
"2025.12.02"	-1131		"Мои деньги"	"Еда"	""	""
"2025.12.02"	-1341		"Мои деньги"	"Еда"	""	""
"2025.12.02"	-1498		"Мои деньги"	"Еда"	""	""
"2025.12.02"	-1142		"Мои деньги"	"Еда"	""	""
"2025.12.02"	-1705		"Мои деньги"	"Досуг"	""	""
"2025.12.01"	-712		"Мои деньги"	"Продукты"	""	""
"2025.12.01"	-4080		"Мои деньги"	"Коммуналка"	""	""
"2025.11.30"	-4317		"Мои деньги"	"Одежда"	""	""
"2025.11.30"	-6408		"Мои деньги"	"Одежда"	""	""
"2025.11.30"	-67329		"Мои деньги"	"Одежда"	""	""
"2025.11.30"	-6706		"Мои деньги"	"Одежда"	""	""
"2025.11.30"	-1240		"Мои деньги"	"Еда"	""	""
"2025.11.30"	-2246		"Мои деньги"	"Одежда"	""	""
"2025.11.30"	-88200		"Мои деньги"	"Здоровье"	""	"Абонемент массаж"
"2025.11.30"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.11.30"	-310		"Мои деньги"	"Досуг"	""	""
"2025.11.29"	-1666		"Мои деньги"	"Еда"	""	""
"2025.11.29"	-4369		"Мои деньги"	"Еда"	""	""
"2025.11.28"	-1600		"Мои деньги"	"Транспорт"	""	""
"2025.11.28"	-27372		"Мои деньги"	"Спорт"	""	"Ракетка"
"2025.11.28"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.11.28"	-3500		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.11.27"	-405		"Мои деньги"	"Досуг"	""	""
"2025.11.27"	-2704		"Мои деньги"	"Еда"	""	""
"2025.11.27"	-259		"Мои деньги"	"Спорт"	""	"Энергетик"
"2025.11.27"	-2802		"Мои деньги"	"Продукты"	""	""
"2025.11.26"	-19199		"Мои деньги"	"Спорт"	""	"Кроссовки"
"2025.11.26"	-2313		"Мои деньги"	"Продукты"	""	""
"2025.11.26"	-1671		"Мои деньги"	"Здоровье"	""	"Аптека"
"2025.11.26"	-2000		"Мои деньги"	"Еда"	""	""
"2025.11.26"	-780		"Мои деньги"	"Спорт"	""	"Корт"
"2025.11.25"	-1336		"Мои деньги"	"Еда"	""	""
"2025.11.25"	-3517		"Мои деньги"	"Продукты"	""	""
"2025.11.24"	-1037		"Мои деньги"	"Еда"	""	""
"2025.11.24"	-1341		"Мои деньги"	"Еда"	""	""
"2025.11.23"	-1100		"Мои деньги"	"Еда"	""	""
"2025.11.23"	-600		"Мои деньги"	"Досуг"	""	""
"2025.11.23"	-1000		"Мои деньги"	"Досуг"	""	"Покер"
"2025.11.23"	-616		"Мои деньги"	"Досуг"	""	""
"2025.11.23"	-11673		"Мои деньги"	"Досуг"	""	"Донат"
"2025.11.22"	-1800		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.22"	-1500		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.22"	-1800		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.22"	-5000		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.22"	-1373		"Мои деньги"	"Еда"	""	""
"2025.11.22"	-7684		"Мои деньги"	"Спорт"	""	"Ракето премиум"
"2025.11.21"	-7150		"Мои деньги"	"Здоровье"	""	"Массаж"
"2025.11.21"	-1520		"Мои деньги"	"Еда"	""	""
"2025.11.20"	-3500		"Мои деньги"	"Спорт"	""	"Турнир падел"
"2025.11.20"	-245		"Мои деньги"	"Досуг"	""	""
"2025.11.20"	-888		"Мои деньги"	"Еда"	""	""
"2025.11.19"	-888		"Мои деньги"	"Еда"	""	""
"2025.11.19"	-2600		"Мои деньги"	"Красота"	""	"Барбер"
"2025.11.19"	-620		"Мои деньги"	"Досуг"	""	""
"2025.11.19"	-1501		"Мои деньги"	"Связь и подписки"	""	"МТС"
"2025.11.18"	-1610		"Мои деньги"	"Еда"	""	""
"2025.11.18"	-1200		"Мои деньги"	"Еда"	""	""
"2025.11.18"	-4947		"Мои деньги"	"Продукты"	""	""
"2025.11.17"	-53340		"Мои деньги"	"Одежда"	""	""
"2025.11.17"	-1150		"Мои деньги"	"Коммуналка"	""	""
"2025.11.16"	-5365		"Мои деньги"	"Красота"	""	"Дм"
"2025.11.16"	-3400		"Мои деньги"	"Здоровье"	""	"Массаж"
"2025.11.16"	-1944		"Мои деньги"	"Еда"	""	""
"2025.11.15"	-1910		"Мои деньги"	"Еда"	""	""
"2025.11.15"	-784		"Мои деньги"	"Продукты"	""	""
"2025.11.15"	-3161		"Мои деньги"	"Подарки"	""	"Настя телеграмм премиум"
"2025.11.15"	-2500		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.15"	-6500		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.15"	-586		"Мои деньги"	"Спорт"	""	"Падел"
"2025.11.15"	-725		"Мои деньги"	"Транспорт"	""	""
"2025.11.15"	-1846		"Мои деньги"	"Еда"	""	""
"2025.11.14"	-495		"Мои деньги"	"Транспорт"	""	""
"2025.11.14"	-580		"Мои деньги"	"Досуг"	""	""
"2025.11.14"	-495		"Мои деньги"	"Транспорт"	""	""
"2025.11.14"	-3500		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.11.13"	-1830		"Мои деньги"	"Еда"	""	""
"2025.11.13"	-2150		"Мои деньги"	"Транспорт"	""	"Такси"
"2025.11.12"	-5852		"Мои деньги"	"Здоровье"	""	"Чистка Зубов"
"2025.11.12"	-2244		"Мои деньги"	"Продукты"	""	""
"2025.11.12"	-520		"Мои деньги"	"Досуг"	""	""
"2025.11.12"	-1821		"Мои деньги"	"Еда"	""	""
"2025.11.11"	-3523		"Мои деньги"	"Техника"	""	""
"2025.11.11"	-1821		"Мои деньги"	"Еда"	""	""
"2025.11.09"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.11.09"	-4230		"Мои деньги"	"Продукты"	""	""
"2025.11.09"	-2599		"Мои деньги"	"Еда"	""	""
"2025.11.08"	-444		"Мои деньги"	"Продукты"	""	""
"2025.11.08"	-790		"Мои деньги"	"Досуг"	""	""
"2025.11.08"	-76194		"Мои деньги"	"Жилье"	""	""
"2025.11.08"	-5000		"Мои деньги"	"Спорт"	""	"Тренировка"
"2025.11.08"	-2550		"Мои деньги"	"Досуг"	""	"Кафешка с Димой"
"2025.11.07"	-1742		"Мои деньги"	"Еда"	""	""
"2025.11.06"	-3500		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.11.06"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2025.11.06"	-1820		"Мои деньги"	"Еда"	""	""
"2025.11.06"	-1820		"Мои деньги"	"Еда"	""	""
"2025.11.05"	-10500		"Мои деньги"	"Продукты"	""	""
"2025.11.05"	-1320		"Мои деньги"	"Досуг"	""	""
"2025.11.03"	-164		"Мои деньги"	"Досуг"	""	""
"2025.11.03"	-246		"Мои деньги"	"Досуг"	""	""
"2025.11.02"	-583		"Мои деньги"	"Спорт"	""	"Сервисный сбор"
"2025.11.02"	-3053		"Мои деньги"	"Продукты"	""	""
"2025.11.01"	-200		"Мои деньги"	"Чаевые"	""	"Рестик"
"2025.11.01"	-2060		"Мои деньги"	"Еда"	""	""
"2025.11.01"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.11.01"	-5000		"Мои деньги"	"Спорт"	""	"Тренировка падел"
"2025.10.31"	-1394		"Мои деньги"	"Еда"	""	""
"2025.10.30"	-1185		"Мои деньги"	"Еда"	""	""
"2025.10.30"	-11640		"Мои деньги"	"Досуг"	""	"Донат"
"2025.10.28"	-18972		"Мои деньги"	"Подарки"	""	"Маме"
"2025.10.28"	-2155		"Мои деньги"	"Еда"	""	""
"2025.10.28"	-2771		"Мои деньги"	"Здоровье"	""	"Аптека"
"2025.10.28"	-1418		"Мои деньги"	"Еда"	""	""
"2025.10.27"	-880		"Мои деньги"	"Еда"	""	""
"2025.10.26"	-76124		"Мои деньги"	"Жилье"	""	""
"2025.10.26"	-1240		"Мои деньги"	"Еда"	""	""
"2025.10.25"	-5000		"Мои деньги"	"Спорт"	""	"Персональная тренировка падел Денис"
"2025.10.25"	-4355		"Мои деньги"	"Продукты"	""	""
"2025.10.24"	-6414		"Мои деньги"	"Продукты"	""	""
"2025.10.23"	-3500		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.10.22"	-99		"Мои деньги"	"Досуг"	""	""
"2025.10.22"	-1600		"Мои деньги"	"Еда"	""	""
"2025.10.21"	-3545		"Мои деньги"	"Продукты"	""	""
"2025.10.21"	-2718		"Мои деньги"	"Продукты"	""	""
"2025.10.21"	-4080		"Мои деньги"	"Коммуналка"	""	""
"2025.10.20"	-3956		"Мои деньги"	"Еда"	""	""
"2025.10.20"	-1646		"Мои деньги"	"Еда"	""	""
"2025.10.18"	-9800		"Мои деньги"	"Спорт"	""	"Термо белье"
"2025.10.18"	-1500		"Мои деньги"	"Еда"	""	""
"2025.10.18"	-3600		"Мои деньги"	"Спорт"	""	"Картинг"
"2025.10.17"	-800		"Мои деньги"	"Транспорт"	""	""
"2025.10.17"	-724		"Мои деньги"	"Транспорт"	""	""
"2025.10.17"	-1260		"Мои деньги"	"Еда"	""	""
"2025.10.17"	-2000		"Мои деньги"	"Досуг"	""	"1."
"2025.10.16"	-3500		"Мои деньги"	"Спорт"	""	"Турнир падел"
"2025.10.15"	-8098		"Мои деньги"	"Спорт"	""	"Футболки"
"2025.10.15"	-1373		"Мои деньги"	"Еда"	""	""
"2025.10.15"	-100		"Мои деньги"	"Чаевые"	""	"Easy freezy"
"2025.10.15"	-10530		"Мои деньги"	"Продукты"	""	""
"2025.10.14"	-1537		"Мои деньги"	"Продукты"	""	""
"2025.10.14"	-815		"Мои деньги"	"Продукты"	""	""
"2025.10.14"	-3073		"Мои деньги"	"Красота"	""	"Dm"
"2025.10.14"	-11000		"Мои деньги"	"Коммуналка"	""	""
"2025.10.12"	-18997		"Мои деньги"	"Техника"	""	"Утюг, гриль, чайник"
"2025.10.12"	-11224		"Мои деньги"	"Дом"	""	"Икея"
"2025.10.12"	-3084		"Мои деньги"	"Продукты"	""	""
"2025.10.12"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2025.10.11"	-258		"Мои деньги"	"Продукты"	""	""
"2025.10.10"	-3500		"Мои деньги"	"Спорт"	""	"Турнир падел"
"2025.10.09"	-258		"Мои деньги"	"Продукты"	""	""
"2025.10.08"	-1200		"Мои деньги"	"Продукты"	""	""
"2025.10.08"	-1417		"Мои деньги"	"Продукты"	""	""
"2025.10.08"	-667		"Мои деньги"	"Продукты"	""	""
"2025.10.07"	-17490		"Мои деньги"	"Дом"	""	"Икея"
"2025.10.06"	-1019		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2025.10.06"	-2338		"Мои деньги"	"Спорт"	""	"Турнир падел"
"2025.10.05"	-102		"Мои деньги"	"Продукты"	""	""
"2025.10.05"	-1800		"Мои деньги"	"Спорт"	""	"Корт падел"
"2025.10.05"	-258		"Мои деньги"	"Продукты"	""	""
"2025.10.04"	-2667		"Мои деньги"	"Продукты"	""	""
"2025.10.04"	-1850		"Мои деньги"	"Спорт"	""	"Корт"
"2025.10.04"	-278		"Мои деньги"	"Продукты"	""	""
"2025.10.02"	-288		"Мои деньги"	"Продукты"	""	""
"2025.10.02"	-583		"Мои деньги"	"Спорт"	""	"Падел Сервис фи"
"2025.10.01"	-12873		"Мои деньги"	"Досуг"	""	"RR"
"2025.10.01"	-1400		"Мои деньги"	"Одежда"	""	""
"2025.09.30"	-585		"Мои деньги"	"Спорт"	""	"Сервис фи"
"2025.09.30"	-8018		"Мои деньги"	"Продукты"	""	""
"2025.09.29"	-2404		"Мои деньги"	"Спорт"	""	"Сандей пасс падел"
"2025.09.29"	-26100		"Мои деньги"	"Одежда"	""	""
"2025.09.29"	-70100		"Мои деньги"	"Одежда"	""	""
"2025.09.29"	-815		"Мои деньги"	"Продукты"	""	""
"2025.09.29"	-162		"Мои деньги"	"Продукты"	""	""
"2025.09.29"	-1331		"Мои деньги"	"Еда"	""	""
"2025.09.29"	-2405		"Мои деньги"	"🔞"	""	""
"2025.09.29"	-159		"Мои деньги"	"Продукты"	""	""
"2025.09.28"	-1990		"Мои деньги"	"Одежда"	""	""
"2025.09.28"	-21847		"Мои деньги"	"Одежда"	""	""
"2025.09.28"	-22680		"Мои деньги"	"Одежда"	""	""
"2025.09.28"	-100		"Мои деньги"	"Чаевые"	""	"Корейка"
"2025.09.28"	-1070		"Мои деньги"	"Еда"	""	""
"2025.09.28"	-18025		"Мои деньги"	"Подарки"	""	"Мама ежемесячное"
"2025.09.24"	-20338		"Мои деньги"	"Досуг"	""	"RR"
"2025.09.21"	-2974		"Мои деньги"	"🔞"	""	"ВК знакомства"
"2025.09.19"	-1429		"Мои деньги"	"Коммуналка"	""	"Кредит альфа"
"2025.09.14"	-1753		"Мои деньги"	"Связь и подписки"	""	"Черногория связь"
"2025.09.13"	-2400		"Мои деньги"	"Транспорт"	""	"Такси"
"2025.09.13"	-100		"Мои деньги"	"Чаевые"	""	"Корейка"
"2025.09.13"	-1310		"Мои деньги"	"Еда"	""	""
"2025.09.12"	-4946		"Мои деньги"	"Дом"	""	"Химия"
"2025.09.12"	-3544		"Мои деньги"	"Красота"	""	"DM"
"2025.09.12"	-10570		"Мои деньги"	"Коммуналка"	""	""
"2025.09.12"	-1238		"Мои деньги"	"Еда"	""	""
"2025.09.12"	-888		"Мои деньги"	"Продукты"	""	""
"2025.09.11"	-14100		"Мои деньги"	"Спорт"	""	"Грузы и костюм"
"2025.09.11"	-76184		"Мои деньги"	"Жилье"	""	""
"2025.09.11"	-880		"Мои деньги"	"Еда"	""	""
"2025.09.10"	-50		"Мои деньги"	"Чаевые"	""	"Корейка"
"2025.09.10"	-1430		"Мои деньги"	"Еда"	""	""
"2025.09.10"	-71813		"Мои деньги"	"Техника"	""	"Dji"
"2025.09.10"	-100		"Мои деньги"	"Чаевые"	""	"Корейка"
"2025.09.10"	-1530		"Мои деньги"	"Еда"	""	"Е"
"2025.09.09"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2025.09.08"	-3328		"Мои деньги"	"Продукты"	""	""
"2025.09.08"	-1307		"Мои деньги"	"Еда"	""	""
"2025.09.08"	-735		"Мои деньги"	"Продукты"	""	""
"2025.09.08"	-9790		"Мои деньги"	"Досуг"	""	"Линзы"
"2025.09.07"	-26600		"Мои деньги"	"Красота"	""	"Оправа"
"2025.09.07"	-200		"Мои деньги"	"Чаевые"	""	"Корейка"
"2025.09.07"	-1430		"Мои деньги"	"Еда"	""	""
"2025.09.07"	-98		"Мои деньги"	"Досуг"	""	""
"2025.09.06"	-100		"Мои деньги"	"Чаевые"	""	"Корейка внизу"
"2025.09.06"	-1530		"Мои деньги"	"Еда"	""	""
"2025.09.05"	-1207		"Мои деньги"	"Еда"	""	""
"2025.09.05"	-1270		"Мои деньги"	"Еда"	""	""
"2025.09.05"	-980		"Мои деньги"	"Досуг"	""	""
"2025.09.05"	-1806		"Мои деньги"	"Еда"	""	""
"2025.09.05"	-1530		"Мои деньги"	"Еда"	""	""
"2025.09.03"	-1271		"Мои деньги"	"Еда"	""	""
"2025.09.03"	-1345		"Мои деньги"	"Продукты"	""	""
"2025.09.02"	-2210		"Мои деньги"	"Еда"	""	""
"2025.09.02"	-882		"Мои деньги"	"Еда"	""	""
"2025.09.02"	-990		"Мои деньги"	"Еда"	""	""
"2025.09.01"	-893		"Мои деньги"	"Еда"	""	""
"2025.09.01"	-1425		"Мои деньги"	"Еда"	""	""
"2025.08.31"	-890		"Мои деньги"	"Еда"	""	""
"2025.08.31"	-1838		"Мои деньги"	"Еда"	""	""
"2025.08.31"	-877		"Мои деньги"	"Еда"	""	""
"2025.08.30"	-2510		"Мои деньги"	"Спорт"	""	"Sunday Pass"
"2025.08.30"	-585		"Мои деньги"	"Спорт"	""	"Турнир"
"2025.08.30"	-10115		"Мои деньги"	"Досуг"	""	"Стендап Чапарян"
"2025.08.29"	-780		"Мои деньги"	"Досуг"	""	""
"2025.08.29"	-7000		"Мои деньги"	"Спорт"	""	"Падел тренировки"
"2025.08.29"	-1460		"Мои деньги"	"Продукты"	""	""
"2025.08.29"	-1282		"Мои деньги"	"Еда"	""	""
"2025.08.28"	-33201		"Мои деньги"	"Досуг"	""	"Ебанная игра"
"2025.08.27"	-840		"Мои деньги"	"Еда"	""	""
"2025.08.27"	-294		"Мои деньги"	"Досуг"	""	""
"2025.08.27"	-1290		"Мои деньги"	"Еда"	""	""
"2025.08.26"	-2000		"Мои деньги"	"Спорт"	""	"Падел тренировка"
"2025.08.26"	-1344		"Мои деньги"	"Еда"	""	""
"2025.08.26"	-99553		"Мои деньги"	"Техника"	""	"Apple Watch Ultra 2"
"2025.08.26"	-3000		"Мои деньги"	"Красота"	""	"Барбер"
"2025.08.25"	-1400		"Мои деньги"	"Еда"	""	""
"2025.08.25"	-2180		"Мои деньги"	"Продукты"	""	""
"2025.08.25"	-350		"Мои деньги"	"Продукты"	""	""
"2025.08.25"	-1500		"Мои деньги"	"Спорт"	""	"Падел турнир"
"2025.08.25"	-1680		"Мои деньги"	"Еда"	""	""
"2025.08.24"	-1418		"Мои деньги"	"Еда"	""	""
"2025.08.24"	-3700		"Мои деньги"	"Спорт"	""	"Тренировка падел"
"2025.08.23"	-5000		"Мои деньги"	"Досуг"	""	"Встреча с Яндекс выпускниками"
"2025.08.22"	-600		"Мои деньги"	"Досуг"	""	""
"2025.08.22"	-27532		"Мои деньги"	"Спорт"	""	"Падел одежда"
"2025.08.22"	-1344		"Мои деньги"	"Еда"	""	""
"2025.08.21"	-1250		"Мои деньги"	"Еда"	""	""
"2025.08.21"	-2000		"Мои деньги"	"Спорт"	""	"Падел корт"
"2025.08.21"	-1312		"Мои деньги"	"Еда"	""	""
"2025.08.20"	-300		"Мои деньги"	"Продукты"	""	""
"2025.08.20"	-3080		"Мои деньги"	"Продукты"	""	""
"2025.08.20"	-1177		"Мои деньги"	"Еда"	""	""
"2025.08.19"	-1187		"Мои деньги"	"Еда"	""	""
"2025.08.18"	-52900		"Мои деньги"	"Спорт"	""	"Падел снаряжение"
"2025.08.18"	-583		"Мои деньги"	"Спорт"	""	"Сервисный сбор турнир падел"
"2025.08.18"	-500		"Мои деньги"	"Продукты"	""	""
"2025.08.18"	-4029		"Мои деньги"	"Еда"	""	""
"2025.08.17"	-3420		"Мои деньги"	"Досуг"	""	"Кафетерия"
"2025.08.17"	-5000		"Мои деньги"	"Спорт"	""	"Тренировка падел"
"2025.08.17"	-500		"Мои деньги"	"Продукты"	""	""
"2025.08.17"	-4000		"Мои деньги"	"Еда"	""	""
"2025.08.17"	-3000		"Мои деньги"	"Еда"	""	""
"2025.08.17"	-1100		"Мои деньги"	"Транспорт"	""	""
"2025.08.15"	-1730		"Мои деньги"	"Продукты"	""	""
"2025.08.15"	-1407		"Мои деньги"	"Еда"	""	""
"2025.08.14"	-798		"Мои деньги"	"Еда"	""	""
"2025.08.14"	-50498		"Мои деньги"	"Подарки"	""	"Ноутбук маме"
"2025.08.13"	-2500		"Мои деньги"	"Продукты"	""	""
"2025.08.13"	-2600		"Мои деньги"	"Красота"	""	"Volumizer"
"2025.08.13"	-9170		"Мои деньги"	"Коммуналка"	""	""
"2025.08.12"	-3070		"Мои деньги"	"Продукты"	""	""
"2025.08.12"	-830		"Мои деньги"	"Продукты"	""	""
"2025.08.12"	-1523		"Мои деньги"	"Еда"	""	""
"2025.08.11"	-11790		"Мои деньги"	"Коммуналка"	""	""
"2025.08.11"	-75546		"Мои деньги"	"Жилье"	""	""
"2025.08.11"	-640		"Мои деньги"	"Гос услуги"	""	"Нотариус"
"2025.08.11"	-16870		"Мои деньги"	"Здоровье"	""	"Спорт пит"
"2025.08.11"	-1376		"Мои деньги"	"Еда"	""	""
"2025.08.11"	-500		"Мои деньги"	"Транспорт"	""	"Такси"
"2025.08.11"	-30		"Мои деньги"	"Гос услуги"	""	"Печать"
"2025.08.10"	-890		"Мои деньги"	"Еда"	""	""
"2025.08.10"	-3555		"Мои деньги"	"Досуг"	""	"Настя кафе"
"2025.08.09"	-5200		"Мои деньги"	"Досуг"	""	"Картинг"
"2025.08.09"	-3800		"Мои деньги"	"Досуг"	""	""
"2025.08.09"	-3606		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2025.08.08"	-1260		"Мои деньги"	"Еда"	""	""
"2025.08.07"	-4245		"Мои деньги"	"🔞"	""	""
"2025.08.07"	-1249		"Мои деньги"	"Еда"	""	""
"2025.08.07"	-1344		"Мои деньги"	"Еда"	""	""
"2025.08.06"	-1870		"Мои деньги"	"Продукты"	""	""
"2025.08.06"	-365		"Мои деньги"	"Досуг"	""	""
"2025.08.06"	-1200		"Мои деньги"	"Транспорт"	""	"Такси"
"2025.08.05"	-1344		"Мои деньги"	"Еда"	""	""
"2025.08.04"	-2540		"Мои деньги"	"Продукты"	""	""
