"Дата"	"Сумма"	"Валюта"	"Счет"	"Статья"	"Группа статей"	"Комментарий"
"2026.04.13"	-1308		"Мои деньги"	"Продукты"	""	""
"2026.04.13"	-3600		"Мои деньги"	"Спорт"	""	"Корт"
"2026.04.11"	-3582		"Мои деньги"	"Транспорт"	""	"Такс"
"2026.04.11"	-3775		"Мои деньги"	"Красота"	""	"Барбер"
"2026.04.11"	-7572		"Мои деньги"	"Продукты"	""	""
"2026.04.11"	-76476		"Мои деньги"	"Жилье"	""	""
"2026.04.11"	-1744		"Мои деньги"	"Дом"	""	""
"2026.04.11"	-6723		"Мои деньги"	"Продукты"	""	""
"2026.04.11"	-46997		"Мои деньги"	"Техника"	""	""
"2026.04.11"	-202		"Мои деньги"	"Продукты"	""	""
"2026.04.11"	-2500		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.04.11"	-1200		"Мои деньги"	"Еда"	""	""
"2026.04.10"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2026.04.10"	-1022		"Мои деньги"	"Еда"	""	""
"2026.04.10"	-227		"Мои деньги"	"Досуг"	""	""
"2026.04.10"	-919		"Мои деньги"	"Еда"	""	""
"2026.04.10"	-800		"Мои деньги"	"Еда"	""	""
"2026.04.09"	-1800		"Мои деньги"	"Спорт"	""	""
"2026.04.08"	-972		"Мои деньги"	"Продукты"	""	""
"2026.04.08"	-1642		"Мои деньги"	"Продукты"	""	""
"2026.04.08"	-1390		"Мои деньги"	"Еда"	""	""
"2026.04.06"	-1560		"Мои деньги"	"Еда"	""	""
"2026.04.06"	-13481		"Мои деньги"	"Продукты"	""	""
"2026.04.05"	-22067		"Мои деньги"	"Продукты"	""	""
"2026.04.05"	-463		"Мои деньги"	"Продукты"	""	""
"2026.04.05"	-1265		"Мои деньги"	"Продукты"	""	""
"2026.04.05"	-1450		"Мои деньги"	"Еда"	""	""
"2026.04.05"	-1030		"Мои деньги"	"Досуг"	""	"Бильярд"
"2026.04.05"	-450		"Мои деньги"	"Досуг"	""	"Жетоны"
"2026.04.05"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2026.04.05"	-2300		"Мои деньги"	"Еда"	""	""
"2026.03.31"	-1029		"Мои деньги"	"Еда"	""	""
"2026.03.31"	-198		"Мои деньги"	"Продукты"	""	""
